Author,Birth Year,Death Year
"Fiech, Saint, Bishop of Sletty, active 6th century",,
"Figuier, Louis",1819.0,1894.0
"Fiske, John",1842.0,1901.0
"Fitch, Albert Parker",1877.0,1944.0
"Fitzgerald, F. Scott (Francis Scott)",1896.0,1940.0
"Fitzhugh, George",1806.0,1881.0
"Flaccus, Horatius",1816.0,1885.0
"Flammarion, Camille",1842.0,1925.0
"Flaubert, Gustave",1821.0,1880.0
"Fleetwood, Henry",,
"Fletcher, Horace",1849.0,1919.0
"Flourens, P. (Pierre)",1794.0,1867.0
"Floyd, William",,
Focault,1926.0,1984.0
"Fontaine, Felix",,
"Forbes, F. A. (Frances Alice)",1869.0,1936.0
"Forel, Auguste",1848.0,1931.0
"Forster, E. M. (Edward Morgan)",1879.0,1970.0
"Forsyth, J. S.",,
"Fosdick, Harry Emerson",1878.0,1969.0
"Foxe, John",1516.0,1587.0
"Franklin, Benjamin",1706.0,1790.0
"Frazer, James George",1854.0,1941.0
Frege,1848.0,1925.0
"Fresenborg, Bernard",1847.0,
"Freud, Sigmund",1856.0,1939.0
"Friedländer, M. (Michael)",1833.0,1910.0
"Fries, Amos A. (Amos Alfred)",1873.0,1963.0
"Frings, Math Josef",1819.0,1895.0
"Frothingham, Octavius Brooks",1822.0,1895.0
"Fénelon, François de Salignac de La Mothe-",1651.0,1715.0
"Gaebelein, Arno Clemens",1861.0,1945.0
"Gage, Matilda Joslyn",1826.0,1898.0
"Gahan, William",1730.0,1804.0
"Galilei, Galileo",1564.0,1642.0
"Galsworthy, John",1867.0,1933.0
"Galton, Francis",1822.0,1911.0
"Gamon, Hannibal",,
"Gandhi, Mahatma",1869.0,1948.0
"Garnet, Henry Highland",1815.0,1882.0
"Garnier, Robert",1544.0,1590.0
"Garrett, Fydell Edmund",1865.0,1907.0
"Gaskell, Elizabeth Cleghorn",1810.0,1865.0
"Gasquet, Francis Aidan",1846.0,1929.0
"Gerard, E. (Emily)",1849.0,1905.0
"Gerberding, G. H. (George Henry)",1847.0,1927.0
"Getman, Frederick Hutton",1877.0,1941.0
"Geyer, Denton Loring",1884.0,
Ghazzali,1058.0,1111.0
"Gibbons, James",1834.0,1921.0
"Gibran, Kahlil",1883.0,1931.0
"Gillespie, George",1613.0,1648.0
"Gilman, Charlotte Perkins",1860.0,1935.0
"Gilpin, Richard",1625.0,1700.0
"Ginsburg, Christian D. (Christian David)",1831.0,1914.0
"Ginzberg, Louis",1873.0,1953.0
"Giovanni, da Parma",,1289.0
"Givler, Robert Chenault",1884.0,1975.0
"Gladden, Washington",1836.0,1918.0
"Glaspell, Susan",1876.0,1948.0
"Glazebrook, Richard",1854.0,1935.0
"Gobineau, Arthur, comte de",1816.0,1882.0
"Goethe, Johann Wolfgang von",1749.0,1832.0
"Goforth, Rosalind",1864.0,1942.0
"Goldman, Emma",1869.0,1940.0
"Goldsmith, Oliver",,1774.0
"Goldziher, Ignác",1850.0,1921.0
"Goodsell, Daniel A. (Daniel Ayres)",1840.0,1909.0
